college_id,college_name,status,home_university
5497,P.G. College Of Engineering Technology Nandurbar,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5509,Shri Swami Samarth Institute Of Management And Technology Malwadi-Bota,Un-Aided,Savitribai Phule Pune University
5513,Mkd Institute Of Technology Nadurbar,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
6004,Government College Of Engineering Research Avasari Khurd,Government,Savitribai Phule Pune University
6005,Government College Of Engineering Karad,Government Autonomous,Autonomous Institute
6007,Walchand College Of Engineering Sangli,Government-Aided Autonomous,Autonomous Institute
6028,Department Of Technology Shivaji University Kolhapur,University Department,Shivaji University
6036,Government College Of Engineering Kolhapur,Government,Shivaji University
6122,Tssms S Pd. Vasantdada Patil Institute Of Technology Bavdhan Pune,Un-Aided,Savitribai Phule Pune University
6138,Genba Sopanrao Moze Trust Parvatibai Genba Moze College Of Engineering Wagholi Pune,Un-Aided,Savitribai Phule Pune University
